train/n_updates,train/ent_coef,train/actor_loss,time/fps,time/time_elapsed,train/critic_loss,rollout/ep_len_mean,time/episodes,time/total_timesteps,rollout/ep_rew_mean
300998,0.0018648583209142089,-334.9228515625,100,1494,0.05488722398877144,150.0,1004,150600,474.05034907000004
302198,0.0018962235189974308,-335.3021240234375,100,1499,0.06409067660570145,150.0,1008,151200,474.1777351199999
303398,0.0018702780362218618,-335.35809326171875,100,1505,0.0580328032374382,150.0,1012,151800,474.0528648900001
304598,0.0018706365954130888,-335.43609619140625,100,1511,0.06467461585998535,150.0,1016,152400,473.9149825900001
305798,0.0017845144029706717,-334.8189697265625,100,1517,0.057050399482250214,150.0,1020,153000,474.09154275000003
306998,0.0017845697002485394,-335.2734069824219,100,1523,0.05756191164255142,150.0,1024,153600,474.4210298
308198,0.0017547457246109843,-335.1448669433594,100,1529,0.051398567855358124,150.0,1028,154200,475.04510336
309398,0.0017296766163781285,-335.95648193359375,100,1535,0.04636551812291145,150.0,1032,154800,475.62050901
310598,0.0017199864378198981,-335.1784973144531,100,1541,0.04819532111287117,150.0,1036,155400,475.88671006
311798,0.0017368827247992158,-335.2755126953125,100,1547,0.05070844292640686,150.0,1040,156000,476.39596899000003
312998,0.0017352586146444082,-335.2879943847656,100,1553,0.054345112293958664,150.0,1044,156600,476.73611480999983
314198,0.0017190007492899895,-335.978271484375,100,1559,0.0501851812005043,150.0,1048,157200,477.30557325
315398,0.001704865600913763,-336.0762939453125,100,1565,0.049544401466846466,150.0,1052,157800,477.73413839
